epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,1514.3,1.41776,0.84173,1.05042,0.83186,0.77898,0.8104,0.51002,2.24152,1.61127,1.51528,0.000165963,0.000165963,0.000165963
147,1525.56,1.42086,0.84156,1.06905,0.82767,0.7767,0.8103,0.5113,2.31051,1.54217,1.56397,0.000163052,0.000163052,0.000163052
148,1535.86,1.43623,0.84737,1.07869,0.86439,0.75754,0.8105,0.53701,2.28515,1.5784,1.56058,0.000160142,0.000160142,0.000160142
149,1546.15,1.39085,0.82004,1.05004,0.82603,0.76488,0.81314,0.53622,2.29234,1.53667,1.54734,0.000157231,0.000157231,0.000157231
150,1556.5,1.3758,0.81789,1.03867,0.77473,0.79932,0.812,0.5449,2.28017,1.53812,1.53018,0.000154321,0.000154321,0.000154321
151,1566.86,1.3576,0.80074,1.03717,0.78945,0.77306,0.79943,0.5439,2.24884,1.63529,1.51326,0.00015141,0.00015141,0.00015141
152,1577.18,1.33746,0.79522,1.04653,0.81088,0.76185,0.8003,0.51832,2.26803,1.67019,1.55738,0.000148499,0.000148499,0.000148499
153,1587.5,1.40052,0.83233,1.0514,0.78751,0.78459,0.80504,0.51265,2.26562,1.58083,1.54102,0.000145589,0.000145589,0.000145589
154,1597.78,1.36424,0.81284,1.0495,0.8255,0.77709,0.81304,0.50885,2.28213,1.51562,1.56062,0.000142678,0.000142678,0.000142678
155,1608.05,1.33046,0.81311,1.04472,0.80641,0.77716,0.81191,0.51442,2.26406,1.61548,1.54833,0.000139768,0.000139768,0.000139768
156,1618.33,1.37547,0.80361,1.05121,0.83447,0.79509,0.82034,0.54044,2.28059,1.43109,1.54504,0.000136857,0.000136857,0.000136857
157,1628.62,1.32733,0.79109,1.03746,0.83642,0.79631,0.81903,0.53544,2.23141,1.55336,1.50891,0.000133946,0.000133946,0.000133946
158,1638.84,1.36607,0.79816,1.03127,0.81662,0.79814,0.81854,0.54422,2.20437,1.45967,1.49848,0.000131036,0.000131036,0.000131036
159,1649.1,1.39318,0.84554,1.06559,0.84108,0.78524,0.81435,0.55661,2.25761,1.53023,1.52646,0.000128125,0.000128125,0.000128125
160,1659.5,1.34153,0.79756,1.04169,0.85488,0.77303,0.82052,0.55706,2.23614,1.52579,1.51997,0.000125215,0.000125215,0.000125215
161,1669.89,1.31117,0.78548,1.02245,0.85064,0.78278,0.81781,0.56361,2.25582,1.48871,1.52581,0.000122304,0.000122304,0.000122304
162,1680.23,1.37338,0.79193,1.04648,0.8464,0.78279,0.82012,0.54917,2.24114,1.52218,1.52382,0.000119393,0.000119393,0.000119393
163,1690.55,1.29496,0.76325,1.025,0.84078,0.79117,0.82544,0.55726,2.28796,1.4477,1.57807,0.000116483,0.000116483,0.000116483
164,1700.86,1.30795,0.75523,1.03178,0.84502,0.7894,0.82477,0.55291,2.3058,1.42172,1.5644,0.000113572,0.000113572,0.000113572
165,1711.24,1.31942,0.76876,1.02408,0.8023,0.81092,0.81863,0.55502,2.26574,1.46022,1.55664,0.000110662,0.000110662,0.000110662
166,1721.6,1.30842,0.76932,1.01702,0.83748,0.80368,0.82503,0.55038,2.24846,1.37789,1.53882,0.000107751,0.000107751,0.000107751
167,1732.02,1.29076,0.75283,1.02228,0.82819,0.79074,0.82144,0.5542,2.23574,1.40988,1.53926,0.00010484,0.00010484,0.00010484
168,1742.34,1.30303,0.75166,1.02475,0.80582,0.80277,0.82293,0.53988,2.24461,1.43862,1.53421,0.00010193,0.00010193,0.00010193
169,1752.69,1.28251,0.74379,1.02402,0.81259,0.79393,0.82027,0.54674,2.20991,1.49915,1.52751,9.90192e-05,9.90192e-05,9.90192e-05
170,1762.98,1.3144,0.7681,1.0232,0.84613,0.79474,0.8222,0.53967,2.25238,1.46335,1.55459,9.61086e-05,9.61086e-05,9.61086e-05
171,1773.29,1.31246,0.76529,1.0374,0.84188,0.79038,0.82133,0.54948,2.21514,1.49323,1.5238,9.3198e-05,9.3198e-05,9.3198e-05
172,1783.67,1.31164,0.78162,1.03795,0.83343,0.78952,0.82486,0.54731,2.26439,1.57427,1.54279,9.02874e-05,9.02874e-05,9.02874e-05
173,1794.04,1.28479,0.75395,1.02943,0.82196,0.79854,0.81939,0.57218,2.2407,1.47133,1.54183,8.73768e-05,8.73768e-05,8.73768e-05
174,1804.46,1.26174,0.73981,1.01806,0.82617,0.80052,0.82461,0.55045,2.25598,1.44559,1.5541,8.44662e-05,8.44662e-05,8.44662e-05
175,1814.8,1.26079,0.72433,1.02047,0.79738,0.81537,0.81633,0.55554,2.2259,1.48867,1.53677,8.15556e-05,8.15556e-05,8.15556e-05
176,1825.14,1.30101,0.75526,1.02558,0.80331,0.80078,0.81595,0.54993,2.24611,1.4742,1.52985,7.8645e-05,7.8645e-05,7.8645e-05
177,1835.46,1.30194,0.7667,1.02863,0.81847,0.81878,0.82351,0.55744,2.2165,1.42676,1.52904,7.57344e-05,7.57344e-05,7.57344e-05
178,1845.84,1.278,0.7449,1.00388,0.84553,0.7993,0.82683,0.5553,2.23963,1.43947,1.53065,7.28238e-05,7.28238e-05,7.28238e-05
179,1856.15,1.23834,0.7202,1.0018,0.8203,0.80552,0.8259,0.5553,2.20257,1.46072,1.51981,6.99132e-05,6.99132e-05,6.99132e-05
180,1866.45,1.26729,0.73395,1.00043,0.81658,0.79706,0.81619,0.559,2.25279,1.46142,1.55086,6.70026e-05,6.70026e-05,6.70026e-05
